[ 1/2000 ]	2	0	0	1	1
[ 2/2000 ]	2	0	0	1	1
[ 3/2000 ]	2	0	0	1	1
[ 4/2000 ]	5	3	0	3	2
[ 5/2000 ]	8	3	0	3	5
[ 6/2000 ]	10	3	1	5	5
[ 7/2000 ]	13	4	1	6	7
[ 8/2000 ]	11	0	2	6	5
[ 9/2000 ]	10	0	1	5	5
[ 10/2000 ]	9	0	1	5	4
[ 11/2000 ]	9	0	0	5	4
[ 12/2000 ]	8	0	1	5	3
[ 1/2001 ]	7	0	1	5	2
[ 2/2001 ]	6	0	1	4	2
[ 3/2001 ]	9	3	0	5	4
[ 4/2001 ]	20	11	0	9	11
[ 5/2001 ]	25	10	5	10	15
[ 6/2001 ]	23	5	7	7	16
[ 7/2001 ]	26	5	2	10	16
[ 8/2001 ]	24	0	2	9	15
[ 9/2001 ]	23	0	1	9	14
[ 10/2001 ]	19	0	4	7	12
[ 11/2001 ]	14	0	5	7	7
[ 12/2001 ]	14	0	0	7	7
[ 1/2002 ]	11	0	3	5	6
[ 2/2002 ]	19	9	1	8	11
[ 3/2002 ]	31	15	3	13	18
[ 4/2002 ]	48	20	3	21	27
[ 5/2002 ]	63	20	5	28	35
[ 6/2002 ]	76	19	6	36	40
[ 7/2002 ]	88	24	12	42	46
[ 8/2002 ]	84	11	15	38	46
[ 9/2002 ]	88	12	8	42	46
[ 10/2002 ]	77	0	11	35	42
[ 11/2002 ]	70	0	7	32	38
[ 12/2002 ]	61	0	9	28	33
[ 1/2003 ]	51	0	10	23	28
[ 2/2003 ]	80	34	5	35	45
[ 3/2003 ]	120	45	5	58	62
[ 4/2003 ]	176	73	17	84	92
[ 5/2003 ]	241	80	15	124	117
[ 6/2003 ]	298	88	31	155	143
[ 7/2003 ]	332	71	37	177	155
[ 8/2003 ]	339	49	42	178	161
[ 9/2003 ]	345	39	33	178	167
[ 10/2003 ]	310	0	35	159	151
[ 11/2003 ]	269	0	41	136	133
[ 12/2003 ]	238	0	31	120	118
[ 1/2004 ]	206	0	32	103	103
[ 2/2004 ]	276	88	18	144	132
[ 3/2004 ]	351	102	27	179	172
[ 4/2004 ]	552	237	36	294	258
[ 5/2004 ]	771	287	68	395	376
[ 6/2004 ]	1004	313	80	504	500
[ 7/2004 ]	1129	252	127	568	561
[ 8/2004 ]	1118	128	139	554	564
[ 9/2004 ]	1106	117	129	545	561
[ 10/2004 ]	972	0	134	485	487
[ 11/2004 ]	859	0	113	424	435
[ 12/2004 ]	751	0	108	370	381
[ 1/2005 ]	677	0	74	337	340
[ 2/2005 ]	938	325	64	455	483
[ 3/2005 ]	1303	461	96	650	653
[ 4/2005 ]	2160	1003	146	1093	1067
[ 5/2005 ]	2928	1014	246	1459	1469
[ 6/2005 ]	3642	1062	348	1820	1822
[ 7/2005 ]	4171	971	442	2079	2092
[ 8/2005 ]	4108	428	491	2067	2041
[ 9/2005 ]	3980	382	510	1991	1989
[ 10/2005 ]	3484	0	496	1756	1728
[ 11/2005 ]	3065	0	419	1530	1535
[ 12/2005 ]	2720	0	345	1367	1353
[ 1/2006 ]	2403	0	317	1222	1181
[ 2/2006 ]	3183	1031	251	1622	1561
[ 3/2006 ]	4265	1354	272	2188	2077
[ 4/2006 ]	6988	3172	449	3506	3482
[ 5/2006 ]	9484	3310	814	4750	4734
[ 6/2006 ]	11780	3352	1056	5810	5970
[ 7/2006 ]	13550	3169	1399	6751	6799
[ 8/2006 ]	13423	1480	1607	6697	6726
[ 9/2006 ]	13177	1374	1620	6610	6567
[ 10/2006 ]	11591	0	1586	5799	5792
[ 11/2006 ]	10167	0	1424	5089	5078
[ 12/2006 ]	9020	0	1147	4487	4533
[ 1/2007 ]	8011	0	1009	3993	4018
[ 2/2007 ]	10879	3657	789	5451	5428
[ 3/2007 ]	14309	4523	1093	7191	7118
[ 4/2007 ]	23121	10301	1489	11560	11561
[ 5/2007 ]	31387	10841	2575	15791	15596
[ 6/2007 ]	38835	10953	3505	19494	19341
[ 7/2007 ]	44646	10327	4516	22354	22292
[ 8/2007 ]	44250	4874	5270	22251	21999
[ 9/2007 ]	43526	4553	5277	21888	21638
[ 10/2007 ]	38383	0	5143	19296	19087
[ 11/2007 ]	33893	0	4490	17059	16834
[ 12/2007 ]	30055	0	3838	15134	14921
[ 1/2008 ]	26725	0	3330	13434	13291
[ 2/2008 ]	35860	11831	2696	18052	17808
[ 3/2008 ]	46460	14342	3742	23289	23171
[ 4/2008 ]	74723	33155	4892	37280	37443
[ 5/2008 ]	100814	34210	8119	50407	50407
[ 6/2008 ]	124552	35262	11524	62548	62004
[ 7/2008 ]	143258	33228	14522	71888	71370
[ 8/2008 ]	142215	15644	16687	71227	70988
[ 9/2008 ]	140178	14870	16907	70212	69966
[ 10/2008 ]	123404	0	16774	61762	61642
[ 11/2008 ]	108927	0	14477	54627	54300
[ 12/2008 ]	96425	0	12502	48265	48160
[ 1/2009 ]	85770	0	10655	42846	42924
[ 2/2009 ]	114500	37529	8799	57240	57260
[ 3/2009 ]	148355	45780	11925	73842	74513
[ 4/2009 ]	239383	106388	15360	119359	120024
[ 5/2009 ]	323096	110350	26637	161579	161517
[ 6/2009 ]	399093	113136	37139	199661	199432
[ 7/2009 ]	460156	106903	45840	230125	230031
[ 8/2009 ]	456197	50357	54316	228115	228082
[ 9/2009 ]	450609	48014	53602	225227	225382
[ 10/2009 ]	397009	0	53600	198321	198688
[ 11/2009 ]	350409	0	46600	174950	175459
[ 12/2009 ]	309904	0	40505	154578	155326
[ 1/2010 ]	275599	0	34305	137321	138278
[ 2/2010 ]	368501	120956	28054	183580	184921
[ 3/2010 ]	478568	148051	37984	238696	239872
[ 4/2010 ]	771863	343017	49722	385467	386396
[ 5/2010 ]	1.04058e+006	353896	85178	519753	520828
[ 6/2010 ]	1.28536e+006	362951	118174	641958	643400
[ 7/2010 ]	1.47995e+006	342871	148278	739353	740598
[ 8/2010 ]	1.46746e+006	161745	174233	732877	734586
[ 9/2010 ]	1.44707e+006	152878	173275	722652	724414
[ 10/2010 ]	1.27555e+006	0	171517	636764	638785
[ 11/2010 ]	1.12519e+006	0	150362	561613	563574
[ 12/2010 ]	995421	0	129766	496886	498535
[ 1/2011 ]	884728	0	110693	441593	443135
[ 2/2011 ]	1.17965e+006	385809	90891	588998	590648
[ 3/2011 ]	1.53119e+006	472579	121037	765121	766067
[ 4/2011 ]	2.47265e+006	1.10046e+006	158991	1.23545e+006	1.2372e+006
[ 5/2011 ]	3.33517e+006	1.13489e+006	272377	1.66769e+006	1.66748e+006
[ 6/2011 ]	4.11631e+006	1.16147e+006	380325	2.05899e+006	2.05732e+006
[ 7/2011 ]	4.73627e+006	1.09605e+006	476093	2.36928e+006	2.367e+006
[ 8/2011 ]	4.69789e+006	517627	556014	2.34955e+006	2.34834e+006
[ 9/2011 ]	4.63296e+006	488400	553328	2.31724e+006	2.31572e+006
[ 10/2011 ]	4.08507e+006	0	547890	2.04337e+006	2.0417e+006
[ 11/2011 ]	3.6052e+006	0	479872	1.80302e+006	1.80217e+006
[ 12/2011 ]	3.19119e+006	0	414004	1.59563e+006	1.59556e+006
[ 1/2012 ]	2.83598e+006	0	355211	1.41756e+006	1.41842e+006
[ 2/2012 ]	3.78745e+006	1.24091e+006	289443	1.89453e+006	1.89292e+006
[ 3/2012 ]	4.91585e+006	1.51775e+006	389354	2.45838e+006	2.45746e+006
[ 4/2012 ]	7.92566e+006	3.52138e+006	511569	3.9628e+006	3.96286e+006
[ 5/2012 ]	1.06891e+007	3.63436e+006	870902	5.3449e+006	5.34422e+006
[ 6/2012 ]	1.31965e+007	3.72296e+006	1.21554e+006	6.59783e+006	6.59871e+006
[ 7/2012 ]	1.51839e+007	3.51371e+006	1.52636e+006	7.59204e+006	7.59185e+006
[ 8/2012 ]	1.50608e+007	1.65981e+006	1.78286e+006	7.53189e+006	7.52894e+006
[ 9/2012 ]	1.48514e+007	1.5665e+006	1.77594e+006	7.42699e+006	7.42441e+006
[ 10/2012 ]	1.3096e+007	0	1.75537e+006	6.54958e+006	6.54645e+006
[ 11/2012 ]	1.15542e+007	0	1.54186e+006	5.7788e+006	5.77537e+006
[ 12/2012 ]	1.02264e+007	0	1.32775e+006	5.11532e+006	5.11111e+006
[ 1/2013 ]	9.09018e+006	0	1.13624e+006	4.54627e+006	4.54391e+006
[ 2/2013 ]	1.21293e+007	3.97013e+006	931041	6.06537e+006	6.0639e+006
[ 3/2013 ]	1.57467e+007	4.86152e+006	1.24412e+006	7.87262e+006	7.87405e+006
[ 4/2013 ]	2.53845e+007	1.12778e+007	1.63992e+006	1.26922e+007	1.26924e+007
[ 5/2013 ]	3.4221e+007	1.163e+007	2.7935e+006	1.71092e+007	1.71118e+007
[ 6/2013 ]	4.22529e+007	1.19215e+007	3.8896e+006	2.11246e+007	2.11282e+007
[ 7/2013 ]	4.86113e+007	1.1249e+007	4.89057e+006	2.43008e+007	2.43105e+007
[ 8/2013 ]	4.8212e+007	5.31161e+006	5.7109e+006	2.4101e+007	2.4111e+007
[ 9/2013 ]	4.75429e+007	5.0118e+006	5.68087e+006	2.37656e+007	2.37773e+007
[ 10/2013 ]	4.19247e+007	0	5.61825e+006	2.0958e+007	2.09667e+007
[ 11/2013 ]	3.69919e+007	0	4.93283e+006	1.84915e+007	1.85003e+007
[ 12/2013 ]	3.27403e+007	0	4.25151e+006	1.63657e+007	1.63746e+007
[ 1/2014 ]	2.9101e+007	0	3.63938e+006	1.45455e+007	1.45554e+007
[ 2/2014 ]	3.88395e+007	1.27118e+007	2.97322e+006	1.94159e+007	1.94236e+007
[ 3/2014 ]	5.04154e+007	1.5569e+007	3.99322e+006	2.52008e+007	2.52146e+007
[ 4/2014 ]	8.12905e+007	3.6123e+007	5.24782e+006	4.06348e+007	4.06557e+007
[ 5/2014 ]	1.09615e+008	3.72723e+007	8.94786e+006	5.47955e+007	5.48195e+007
[ 6/2014 ]	1.35326e+008	3.81739e+007	1.24629e+007	6.76477e+007	6.76781e+007
[ 7/2014 ]	1.55699e+008	3.6034e+007	1.56612e+007	7.78321e+007	7.78665e+007
[ 8/2014 ]	1.54405e+008	1.7003e+007	1.82962e+007	7.71867e+007	7.72188e+007
[ 9/2014 ]	1.52264e+008	1.60547e+007	1.8196e+007	7.61154e+007	7.61488e+007
[ 10/2014 ]	1.34262e+008	0	1.80023e+007	6.71168e+007	6.71451e+007
[ 11/2014 ]	1.1847e+008	0	1.57919e+007	5.92224e+007	5.92476e+007
[ 12/2014 ]	1.04851e+008	0	1.36192e+007	5.24122e+007	5.24387e+007
